Question,Answer
Capital of India?,New Delhi
Land of Rising Sun?,Japan
Largest planet?,Jupiter
"Writer of ""Hamlet""?",William Shakespeare
coldest location,East Antarctica
highest peak in India,Kangchenjunga
Currency of UK?,Pound Sterling
"""Dark Continent""?",Africa
second highest peak in India,Nanda Devi
"Painter of ""Starry Night""?",Vincent van Gogh
Smallest prime number?,2
fastest animal on land,Cheetah
Plant photosynthesis gas?,Carbon dioxide
Largest bird?,Ostrich
Oxygen chemical symbol?,O
Largest desert?,Sahara Desert
"""Morning Star""?",Venus
Japan currency?,Yen
"painter of ""Mona Lisa"" ?",Leonardo da Vinci
hardest substance,Diamond
Continent-country?,Asia-India
Tallest N. America mountain?,Mount Denali
China language?,Mandarin Chinese
Human breathing gas?,Oxygen
nstrument used to measure bp,Sphygmomanometer
Japan national flower?,Cherry Blossom
largest bone in human,Thighbone
"""Red Planet""?",Mars
France currency?,Euro
Largest ocean?,Pacific Ocean
Brazil language?,Portuguese
"""King of jungle""?",Lion
Cheese ingredient?,Milk
Eiffel Tower country?,France
Gold chemical symbol?,Au
Largest mammal?,Blue Whale
Rice ingredient?,Rice
"""Romeo and Juliet"" author?",William Shakespeare
Tallest mountain?,Mount Everest
Land of Midnight Sun?,Norway
Water chemical symbol?,H2O
Potato ingredient?,Potato
"""Father of Modern Physics""?",Albert Einstein
Russia language?,Russian
Canada currency?,Canadian Dollar
"""King of sky""?",Eagle
Taj Mahal country?,India
Carbon chemical symbol?,C
Germany language?,German
